gene1,gene2
RPAP3,DNAAF10
RPAP3,UXT
RPAP3,PFDN2
RPAP3,PFDN6
RPAP3,RPAP1
RPAP3,POLR2E
SKAP2,LCP2
SKAP2,FYB1
SKAP2,ITGA5
SKAP2,ITGA4
SKAP2,ITGB1
SKAP2,FYN
HOXA11,HOXA10
HOXA11,FOXO1
CX3CL1,CCL11
CX3CL1,CXCL12
CX3CL1,CCR5
CX3CL1,CCR7
CX3CL1,CSF2
CX3CL1,IFNG
CX3CL1,CCL21
CX3CL1,CXCL1
CX3CL1,CSF3
CX3CL1,CXCL13
CX3CL1,FGF13
CX3CL1,CCL17
CX3CL1,FGF2
CX3CL1,CCL20
CX3CL1,FLT3LG
CX3CL1,CXCR4
CX3CL1,CXCR1
CX3CL1,CX3CR1
CX3CL1,CXCR6
CX3CL1,CCR3
CX3CL1,CD200R1
CX3CL1,CCL7
CX3CL1,CCR1
CX3CL1,CXCR3
CX3CL1,XCR1
CX3CL1,CCL1
CX3CL1,CCL4
CX3CL1,CXCR2
CX3CL1,CXCL11
CX3CL1,CCR6
CX3CL1,CXCL9
CX3CL1,EGF
CX3CL1,CXCL16
CX3CL1,CXCL10
CX3CL1,CCL22
TRAPPC6A,TRAPPC13
TRAPPC6A,TRAPPC2
TRAPPC6A,TRAPPC1
TRAPPC6A,RAB1A
TRAPPC6A,TRAPPC4
TRAPPC6A,TRAPPC3L
TRAPPC6A,TRAPPC5
TRAPPC6A,TRAPPC8
TRAPPC6A,TRAPPC12
TRAPPC6A,TRAPPC10
TRAPPC6A,TRAPPC11
TRAPPC6A,TRAPPC2L
TRAPPC6A,TRAPPC6B
TRAPPC6A,TRAPPC2B
TRAPPC6A,TRAPPC3
YBX2,NOBOX
YBX2,FIGLA
YBX2,SOHLH1
CRY1,PRKAG3
CRY1,PRH2
CRY1,BTRC
CRY1,PRH1
CRY1,NPAS2
CRY1,RORC
CRY1,BHLHE40
CRY1,NFIL3
CRY1,CRY2
CRY1,CLOCK
CRY1,NR1D1
CRY1,PRKAB2
CRY1,TIMELESS
CRY1,CSNK1D
CRY1,PRKAG1
CRY1,BMAL1
CRY1,PRKAA1
CRY1,FBXL3
CRY1,BMAL2
CRY1,TPTEP2-CSNK1E
CRY1,NR3C1
CRY1,CSNK1E
CRY1,RORB
CRY1,PRKAG2
CRY1,PER1
CRY1,PRKAB1
CRY1,PER2
CRY1,BHLHE41
CRY1,RORA
CRY1,PER3
CRY1,PRKAA2
CRY1,NR1D2
PGLYRP1,HSPA4
PGLYRP1,TREM1
STARD3NL,STARD3
STARD3NL,VAPB
STARD3NL,NPC2
STARD3NL,VAPA
STARD3NL,STAR
CAMK1G,NOS3
CAMK1G,CALM3
CD74,RPL30
CD74,RPS17
CD74,MRPL36
CD74,SEC61A1
CD74,HLA-DPB1
CD74,RSAD1
CD74,POLR2C
CD74,RPL4
CD74,POLR1C
CD74,RPS4X
CD74,RPS7
CD74,RPLP1
CD74,HLA-DQB1
CD74,RPS5
CD74,HLA-DOA
CD74,RPL26L1
CD74,MRPL33
CD74,RPS28
CD74,RPS25
CD74,MED1
CD74,CXCR4
CD74,CD44
CD74,RPL10A
CD74,HLA-DQA2
CD74,MRPL12
CD74,MRPL21
CD74,RPL8
CD74,RPS20
CD74,MRPS9
CD74,CTSS
CD74,RPL23A
CD74,RPL17
CD74,HLA-DQB2
CD74,RPS8
CD74,MRPL17
CD74,RPL22L1
CD74,RPS15
CD74,RPS2
CD74,RPL24
CD74,RPS10-NUDT3
CD74,RPL37A
CD74,MRPS6
CD74,UBA52
CD74,RPS6
CD74,RPL26
CD74,LGMN
CD74,TUFM
CD74,RPS24
CD74,RPL11
CD74,RPS27L
CD74,MRPS12
CD74,RPS21
CD74,RPL9
CD74,RPL18
CD74,HLA-DMA
CD74,RPL7
CD74,IMP3
CD74,MRPL32
CD74,RPL13
CD74,MIF
CD74,RPL6
CD74,AKNAD1
CD74,RPL36
CD74,RPL27A
CD74,HLA-DQA1
CD74,RPS10
CD74,MRTO4
CD74,RPS4Y2
CD74,HLA-DRB1
CD74,RPL7A
CD74,RPL23
CD74,RPL7L1
CD74,RPS19
CD74,CXorf66
CD74,MRPS16
CD74,RACK1
CD74,RPL15
CD74,RPL35
CD74,RPSA
