gene1,gene2
CYP2B6,UGT2A2
CYP2B6,ALDH1A3
CYP2B6,UGT1A7
CYP2B6,UGT2B28
CYP2B6,UGT2B11
CYP2B6,CYP1A2
CYP2B6,CYP2U1
CYP2B6,CYP1A1
CYP2B6,UGT1A4
CYP2B6,AOX1
CYP2B6,CYP3A4
CYP2B6,EPHX2
CYP2B6,UGT2B15
CYP2B6,CYB5A
CYP2B6,UGT1A10
CYP2B6,PTGS2
CYP2B6,CYP2C8
CYP2B6,PTGS1
CYP2B6,CYP26C1
CYP2B6,UGT1A5
CYP2B6,EPHX1
CYP2B6,CYP3A7-CYP3A51P
CYP2B6,CYP2C19
CYP2B6,UGT1A9
CYP2B6,UGT1A3
CYP2B6,CYP4F8
CYP2B6,CYP4A22
CYP2B6,UGT1A8
CYP2B6,CYP2E1
CYP2B6,CYP3A7
CYP2B6,ALOX5
CYP2B6,POR
CYP2B6,ALOX15B
MAB21L2,MEIS2
SAV1,STK3
SAV1,DIAPH1
SAV1,NF2
SAV1,AMOT
SAV1,YAP1
SAV1,RASSF1
SAV1,STK24
SAV1,LATS2
SAV1,LATS1
SAV1,WWC1
SAV1,WTIP
SAV1,RASSF5
SAV1,STK4
SAV1,MOB1A
SAV1,WWTR1
SAV1,MOB1B
TRAPPC14,TRAPPC2L
TRAPPC14,TRAPPC2
TRAPPC14,TRAPPC5
WFIKKN1,NTSR1
PPP2R1A,STK3
PPP2R1A,ENSA
PPP2R1A,PPP2R2D
PPP2R1A,YAP1
PPP2R1A,PPP2CA
PPP2R1A,INTS4
PPP2R1A,STRIP1
PPP2R1A,STRN3
PPP2R1A,ARPP19
PPP2R1A,PPP2R5D
PPP2R1A,STK24
PPP2R1A,PRKCA
PPP2R1A,TGFBR2
PPP2R1A,INTS8
PPP2R1A,PDCD10
PPP2R1A,PPP2R5C
PPP2R1A,STK26
PPP2R1A,INTS2
PPP2R1A,STRN4
PPP2R1A,WWTR1
PPP2R1A,FBXO43
PPP2R1A,PRKCZ
PPP2R1A,INTS1
PPP2R1A,PTPA
PPP2R1A,INTS5
PPP2R1A,CDK1
PPP2R1A,SLMAP
PPP2R1A,AKT1
PPP2R1A,TRAF3IP3
PPP2R1A,RYR2
PPP2R1A,SUPT5H
PPP2R1A,PPP2R5E
PPP2R1A,PPP3CB
PPP2R1A,INTS9
PPP2R1A,PPP1R17
PPP2R1A,OCLN
PPP2R1A,RELA
PPP2R1A,PPP2R2B
PPP2R1A,REC8
PPP2R1A,PPME1
PPP2R1A,PABIR1
PPP2R1A,SIKE1
PPP2R1A,ANKLE2
PPP2R1A,PPFIA2
PPP2R1A,TIPRL
PPP2R1A,PRKCB
PPP2R1A,POLR2E
PPP2R1A,IRAK1
PPP2R1A,IRAK4
PPP2R1A,DRD2
PPP2R1A,INTS7
PPP2R1A,PPP3CA
PPP2R1A,BCL2
PPP2R1A,INTS11
PPP2R1A,PPP2R2C
PPP2R1A,TNNI3
PPP2R1A,PPP2R3B
PPP2R1A,PPP4R2
PPP2R1A,CDC20
PPP2R1A,PPP2R2A
PPP2R1A,STK25
GSK3B,AKT3
GSK3B,PRKACB
GSK3B,SRC
GSK3B,CREB3L1
GSK3B,PPP3CB
GSK3B,HSP90AB1
GSK3B,JUN
GSK3B,NFE2L2
GSK3B,DPYSL2
GSK3B,FBXW7
GSK3B,PSEN1
GSK3B,DISC1
GSK3B,PARD6G
GSK3B,CSNK1E
GSK3B,HSP90AA1
GSK3B,SMAD3
GSK3B,CREB1
GSK3B,PARD6B
GSK3B,ILK
GSK3B,PPP3CA
GSK3B,CREB3
GSK3B,RUNX2
GSK3B,TBC1D7
GSK3B,MYC
GSK3B,CREB3L2
GSK3B,YWHAZ
GSK3B,TAB2
GSK3B,AMER1
GSK3B,CCND3
GSK3B,TRAF6
GSK3B,APC2
GSK3B,ADAR
GSK3B,NFATC1
GSK3B,CACYBP
GSK3B,RAF1
GSK3B,GLI3
GSK3B,MAPT
GSK3B,KIF5A
GSK3B,PPP2CA
GSK3B,GLI2
GSK3B,PRNP
GSK3B,TBK1
GSK3B,FRAT1
GSK3B,ANKRD6
GSK3B,OGT
GSK3B,ATF4
GSK3B,CREB5
GSK3B,BTRC
GSK3B,SIAH1
GSK3B,CSNK1A1L
GSK3B,KIF5C
GSK3B,DVL1
GSK3B,PPP3CC
GSK3B,NFATC2
GSK3B,KLC1
GSK3B,PRKACG
GSK3B,FRAT2
GSK3B,NIN
GSK3B,CTNNB1
GSK3B,MAP3K7
GSK3B,PRKCZ
GSK3B,AKT2
GSK3B,PTEN
GSK3B,HSF1
GSK3B,AKT1
GSK3B,KLC3
GSK3B,GSKIP
GSK3B,BRAF
GSK3B,CSNK1D
GSK3B,PARD3
GSK3B,CTNND1
GSK3B,SUFU
GSK3B,KLC2
MVB12A,VPS36
MVB12A,PDCD6IP
MVB12A,STAM
MVB12A,HGS
MVB12A,SNF8
MVB12A,MVB12B
MVB12A,CHMP1B
MVB12A,VPS28
MVB12A,UBAP1
MVB12A,CHMP2A
MVB12A,CHMP7
AKAP17A,ASMTL
AACS,HMGCS2
AACS,HMGCL
AACS,ACAT2
AACS,BDH1
AACS,HMGCLL1
AACS,OXCT2
STK11,STK11IP
STK11,SMARCA4
STK11,PRKAA2
STK11,YWHAZ
STK11,FOXO1
STK11,HSP90AA1
STK11,FOXO4
STK11,PRKAB1
STK11,PRKAA1
STK11,CAB39L
STK11,FOXO3
STK11,STRADA
STK11,PRKCZ
STK11,PTEN
STK11,ARHGEF18
STK11,PRKAG3
SEMA6D,PLXNA4
SEMA6D,PLXNA1
SEMA6D,NRCAM
SEMA6D,PLXNA2
SEMA6D,TREM2
CD28,CARD11
CD28,GRAP2
CD28,VAV1
CD28,PIK3CB
CD28,IL17A
CD28,CD40
CD28,FOXP3
CD28,CD58
CD28,TNFRSF4
CD28,PIK3R1
CD28,GRB2
CD28,CD8A
CD28,FYN
CD28,ITK
CD28,CD247
CD28,ICOSLG
CD28,TNF
CD28,PIK3CD
CD28,CD40LG
CD28,PDCD1LG2
CD28,PDCD1
CD28,CD2
CD28,CD86
CD28,CD70
CD28,B3GAT1
CD28,IL10
CD28,CD274
CD28,CTLA4
MBOAT1,PTDSS1
MBOAT1,PISD
MBOAT1,PLPP5
MBOAT1,CEPT1
MBOAT1,AGPAT2
MBOAT1,PLD3
MBOAT1,AGPAT1
MBOAT1,CDS2
MBOAT1,PNPLA6
MBOAT1,PLD1
MBOAT1,AGK
MBOAT1,PLPP4
MBOAT1,PNPLA7
MBOAT1,PLB1
MBOAT1,PLD4
RNF14,NCOA4
RNF14,AR
CABP4,S100G
CABP4,CACNA1F
COPG1,COPA
COPG1,COPB2
COPG1,COPE
COPG1,COPZ2
COPG1,GBF1
COPG1,COPZ1
COPG1,COPG2
NCAPD2,POLA1
NCAPD2,NCAPG2
NCAPD2,NCAPD3
NCAPD2,SMC4
ZNF569,ZUP1
PPP2R2A,STK3
PPP2R2A,PPP2R2D
PPP2R2A,ENSA
PPP2R2A,PPP4R1
PPP2R2A,YAP1
PPP2R2A,PPP2CA
PPP2R2A,ATR
PPP2R2A,PPP2R5D
PPP2R2A,PPP2R5C
PPP2R2A,MOB1A
PPP2R2A,WWTR1
PPP2R2A,PTPA
PPP2R2A,PRKCZ
PPP2R2A,RYR2
PPP2R2A,NRDE2
PPP2R2A,PPP3CB
PPP2R2A,PPP2R5E
PPP2R2A,OCLN
PPP2R2A,RELA
PPP2R2A,PPP2R2B
PPP2R2A,LCMT1
PPP2R2A,PPME1
PPP2R2A,CHEK1
PPP2R2A,IRAK1
PPP2R2A,IRAK4
PPP2R2A,DRD2
PPP2R2A,PPP3CA
PPP2R2A,BCL2
PPP2R2A,TNNI3
PPP2R2A,PPP2R2C
PPP2R2A,PPP2R3B
PPP2R2A,PPP4R2
PGR,PRKACB
PGR,SRC
PGR,PIK3CB
PGR,HSP90AB1
PGR,HSP90AA1
PGR,PGRMC2
PGR,STAT5A
PGR,NCOA1
PGR,CYP19A1
PGR,ESR1
PGR,BRCA1
PGR,PIK3CD
PGR,MAPK8
PGR,FGFR2
PGR,MAPK11
PGR,NCOA3
PGR,FKBP5
PGR,KLF9
PGR,PIK3R1
PGR,PRKACG
PGR,MAPK9
PGR,NCOA2
PGR,NCOR2
PGR,ERBB4
PGR,PTGES3
HADHB,CS
HADHB,ECHDC1
HADHB,HSD17B4
HADHB,ACSS3
HADHB,ACAA1
HADHB,SUCLG2
HADHB,ECHS1
HADHB,PCCB
HADHB,PCCA
HADHB,ACADM
HADHB,OXCT2
HADHB,SUCLA2
HADHB,ALDH6A1
HADHB,ACADSB
HADHB,DLST
HADHB,HADH
HADHB,HMGCLL1
HADHB,ACLY
HADHB,ECI2
HADHB,HSDL2
HADHB,HMGCL
HADHB,ACOX3
HADHB,SUCLG1
HADHB,ACAT2
HADHB,ACADVL
HADHB,HMGCS2
HADHB,ETFDH
HADHB,HADHA
COL12A1,COL5A2
MYL11,MYH6
MYL11,MYL3
MYL11,MYH8
MYL11,MYH2
MYL11,MYH10
MYL11,TNNI1
MYL11,TNNT3
MYL11,TNNC2
MYL11,MYH7
MYL11,MYL4
MYL11,MYH13
MYL11,ROCK1
MYL11,ATP2A1
MYL11,ACTB
MYL11,MYH3
MYL11,MYOZ1
MYL11,ACTA1
MYL11,MYL6B
MYL11,TNNI2
MYL11,ACTG1
LASP1,PALLD
MTMR4,MTMR3
MTMR4,INPP5F
MTMR4,PIP4P1
MTMR4,INPP4B
HASPIN,KIF2C
PKD2L1,PKD1L3
METAP2,RPL23A
METAP2,UCHL5
METAP2,RPL5
METAP2,RPL23
MAP1S,GABARAPL1
MAP1S,ATG7
MAP1S,SQSTM1
MAP1S,MAP1LC3A
MAP1S,ATG12
MAP1S,HEBP2
MAP1S,MAP1LC3B
MAP1S,RASSF1
MAP1S,BECN1
MAP1S,ATG5
ZNF335,CNOT6
AP3S1,AP4M1
AP3S1,AP3D1
AP3S1,AP3M1
AP3S1,AP2S1
AP3S1,AP5B1
AP3S1,AP2M1
AP3S1,AP4B1
AP3S1,AP2B1
AP3S1,AP1S1
AP3S1,AP5Z1
AP3S1,AP1G1
AP3S1,AP5S1
AP3S1,AP2A1
AP3S1,AP3M2
AP3S1,RPL7A
AP3S1,AP3S2
AP3S1,AP2A2
AP3S1,AP3B2
AP3S1,AP1M1
HNRNPM,SYNCRIP
HNRNPM,DHX9
HNRNPM,ILF2
HNRNPM,HNRNPC
HNRNPM,HNRNPF
HNRNPM,PTBP1
HNRNPM,EIF4A3
HNRNPM,HNRNPH2
HNRNPM,HNRNPA2B1
HNRNPM,RBMX
HNRNPM,SRSF7
HNRNPM,DDX17
HNRNPM,HNRNPU
HNRNPM,SRSF3
HNRNPM,HNRNPA3
HNRNPM,MATR3
HNRNPM,ESRP2
HNRNPM,HNRNPK
HNRNPM,SRSF2
HNRNPM,TNPO1
HNRNPM,HNRNPR
HNRNPM,ELAVL1
HNRNPM,EWSR1
HNRNPM,ESRP1
HNRNPM,SNRNP70
HNRNPM,HNRNPH1
HNRNPM,TRA2B
HNRNPM,HNRNPDL
HNRNPM,SFPQ
HNRNPM,ZNF207
HNRNPM,SRRT
HNRNPM,HNRNPA1
WDR33,PPP1CA
WDR33,CSTF2T
WDR33,PAPOLB
WDR33,PPP1CB
WDR33,CPSF7
WDR33,CPSF1
WDR33,CSTF2
WDR33,FIP1L1
WDR33,CPSF4L
WDR33,PPP1CC
TPRKB,LAGE3
TPRKB,TP53RK
TPRKB,YRDC
PARL,OPA1
PARL,STOML2
PARL,PHB2
PARL,PINK1
MAT2B,FAU
MAT2B,DNMT3B
MAT2B,TAT
MAT2B,MAT1A
MAT2B,IL4I1
MAT2B,MTR
MAT2B,DNMT1
KARS1,EEF1E1
KARS1,SARS2
KARS1,IARS1
KARS1,RARS2
KARS1,SARS1
KARS1,EPRS1
KARS1,YARS1
KARS1,ATP5F1A
KARS1,HARS2
KARS1,TARS3
KARS1,GARS1
KARS1,HARS1
KARS1,EARS2
KARS1,AIMP1
KARS1,PARS2
KARS1,LARS2
KARS1,MRPL21
KARS1,LARS1
KARS1,IARS2
KARS1,RPSA
KARS1,ATP5F1C
KARS1,VARS1
KARS1,VARS2
KARS1,WARS1
CERS5,KDSR
CERS5,SGMS1
CERS5,SPHK2
CERS5,UGCG
CERS5,GBA2
CERS5,SMPD4
CERS5,SGMS2
CERS5,PLPP2
CERS5,CERS6
CERS5,PLPP3
CERS5,SMPD1
CERS5,ASAH1
CERS5,ACER3
CERS5,ACER2
CERS5,ASAH2
CERS5,ENPP7
KIR3DL2,KLRC2
KIR3DL2,KIR2DL1
KIR3DL2,ADGRL3
KIR3DL2,PTPN11
KIR3DL2,KLRC1
KIR3DL2,KIR2DL4
KIR3DL2,HLA-B
KIR3DL2,PTPN6
KIR3DL2,KLRD1
KIR3DL2,HLA-C
KIR3DL2,KIR3DL1
KIR3DL2,HLA-G
KIR3DL2,HLA-A
KIR3DL2,KIR2DL3
WNT11,NOTUM
WNT11,GPC3
WNT11,FZD6
WNT11,ROR2
WNT11,FZD9
WNT11,DVL1
WNT11,FZD5
WNT11,FZD8
WNT11,RYK
WNT11,DKK1
WNT11,FZD4
WNT11,CER1
FBN1,FBN2
FBN1,TGFBR2
FBN1,COL5A1
FBN1,COL5A2
FBN1,ADAMTSL4
FBN1,TGFBR1
FBN1,LTBP1
FBN1,MFAP2
FBN1,ADAMTS10
FBN1,MFAP5
FBN1,FN1
FBN1,FBLN5
FBN1,MFAP4
FBN1,FBLN2
FBN1,BMP7
PLAG1,TCEA1
CNDP2,ALDH3B2
CNDP2,ALDH9A1
CNDP2,ABAT
CNDP2,CARNS1
CNDP2,ALDH3A2
CNDP2,GATM
CNDP2,ALDH1B1
CNDP2,ALDH7A1
CNDP2,ALDH3A1
CNDP2,GAD1
CNDP2,ALDH3B1
CNDP2,GAD2
CNDP2,CARNMT1
CNDP2,CNDP1
TMC8,SYNGR2
TMC8,SLC30A1
MICOS10,APOOL
MICOS10,MICOS13
MICOS10,CHCHD3
MICOS10,APOO
MICOS10,MTX1
MICOS10,CHCHD10
MICOS10,TOMM40
MICOS10,SAMM50
MICOS10,IMMT
MICOS10,DNAJC11
PTPRCAP,PTPRC
RUFY1,RAB4A
RUFY1,BMX
MED16,MED12
MED16,MED25
MED16,THRAP3
MED16,MED23
MED16,CDK19
MED16,MED13
MED16,POLR2E
MED16,POLR2B
MED16,GTF2E2
MED16,MED6
MED16,MED24
MED16,GTF2B
MED16,CCNC
MED16,MED22
MED16,QKI
MED16,CDK8
MED16,MED18
MED16,MED29
CHCHD5,APOO
CHCHD5,MICOS13
CHCHD5,CHCHD3
NFKBIZ,RELA
EXOC3L1,EXOC7
EXOC3L1,EXOC1
EXOC3L1,EXOC8
EXOC3L1,EXOC6B
EXOC3L1,EXOC5
RNF40,H2BC21
RNF40,H2BC3
RNF40,H2BC14
RNF40,WAC
RNF40,H2BC9
RNF40,H2BC11
RNF40,RNF20
RNF40,CDC73
RNF40,H2BC17
RNF40,H2BC15
RNF40,H2BC12
RNF40,UBE2V1
RNF40,UBE2A
RNF40,CTR9
RNF40,H2BC13
CCZ1,VPS16
CCZ1,VPS11
CCZ1,VPS39
CARM1,H3-7
CARM1,H3C6
CARM1,SRC
CARM1,H3C13
CARM1,PRKACB
CARM1,PRMT1
CARM1,JUN
CARM1,H3C12
CARM1,H3-3A
CARM1,H3C3
CARM1,ESR1
CARM1,ESR2
CARM1,NCOA1
CARM1,PRKACG
CARM1,H3C1
CARM1,H3-5
CARM1,SP1
CARM1,H3C4
CARM1,H3C2
CARM1,H3C10
CARM1,MAPK8
CARM1,MAPK11
CARM1,NCOA3
CARM1,H3C14
CARM1,H3C7
CARM1,H3C11
CARM1,H3C15
CARM1,MAPK9
CARM1,H3C8
CARM1,NCOA2
TNP2,PRM2
STK25,PDCD10
STK25,STK24
STK25,STRN3
STK25,STRIP1
STK25,PPP2CA
STK25,SLMAP
STK25,STRN4
STK25,STK26
STK25,SIKE1
STK25,TRAF3IP3
STK25,CCM2
STK25,GOLGA2
NR2F1,BCL11B
CYP11B2,AKR1C1
CYP11B2,AGT
CYP11B2,HSD17B8
CYP11B2,CYP19A1
CYP11B2,HSD17B3
CYP11B2,HSD3B2
CYP11B2,SRD5A2
CYP11B2,CYP21A2
CYP11B2,CYP17A1
CYP11B2,HSD11B1L
CYP11B2,AKR1C3
CYP11B2,HSD11B1
CYP11B2,HSD17B6
CYP11B2,HSD3B1
CYP11B2,AGTR1
SEC16A,MIA3
SEC16A,RGN
SEC16A,SEC23B
SEC16A,SEC31A
SEC16A,SEC24C
SEC16A,SEC13
SEC16A,SEC24B
SEC16A,SEC24A
SEC16A,SAR1A
DIRAS1,PIK3CB
MRE11,CHEK1
MRE11,XRCC3
MRE11,RAD17
MRE11,RAD51D
MRE11,CHEK2
MRE11,EXO1
MRE11,H2AX
MRE11,RECQL4
MRE11,BRCA1
MRE11,BLM
MRE11,ATRX
MRE11,RAD51C
MRE11,XRCC5
MRE11,XRCC6
MRE11,BRCA2
MRE11,XRCC2
MRE11,MDC1
MRE11,RAD50
MRE11,RBBP8
MRE11,GEN1
MRE11,DNA2
MRE11,RAD51
MRE11,RAD52
MRE11,RAD51B
MRE11,ATR
MRE11,TP53BP1
SRSF7,HNRNPF
SRSF7,HNRNPC
SRSF7,MAGOH
SRSF7,RBMX
SRSF7,HNRNPA2B1
SRSF7,SRSF4
SRSF7,SRSF10
SRSF7,LUC7L2
SRSF7,NCBP2
SRSF7,DDX39B
SRSF7,YTHDC1
SRSF7,PTBP1
SRSF7,SRSF5
SRSF7,EIF4A3
SRSF7,SRSF11
SRSF7,SRPK1
SRSF7,HNRNPA3
SRSF7,HNRNPU
SRSF7,SRSF3
SRSF7,ALYREF
SRSF7,SRSF2
SRSF7,HNRNPK
SRSF7,NXF1
SRSF7,TRA2B
SRSF7,HNRNPH1
SRSF7,HNRNPA1
PSMG2,PSMG4
PSMG2,CCT4
PSMG2,PTGES3
PSMG2,PSMG1
PSMG2,POMP
PSMG2,PSMB3
PSMG2,STIP1
PSMG2,PSMB2
PSMG2,PSMB8
PSMG2,PSMB9
PSMG2,PSMA7
PSMG2,DNAJC9
PSMG2,PSMA1
PSMG2,CCT6B
PSMG2,PSMB5
LNX2,NUMB
RIC8A,GNA13
RIC8A,GNAI1
RIC8A,RABIF
RIC8A,GNAI3
PRX,PPL
PRX,EZR
PRX,GJB1
PRX,DRP2
PRX,AHNAK
PRX,SOX10
PPP1CA,TOX4
PPP1CA,PHACTR1
PPP1CA,RYR2
PPP1CA,PPP1R10
PPP1CA,PPP1R3E
PPP1CA,GRIA3
PPP1CA,CPSF1
PPP1CA,PPP1R13L
PPP1CA,CAMK2A
PPP1CA,MYL12B
PPP1CA,BRCA1
PPP1CA,TP53BP2
PPP1CA,MYL6
PPP1CA,PPP1R2
PPP1CA,POLR2E
PPP1CA,PPP1CB
PPP1CA,ROCK1
PPP1CA,SHOC2
PPP1CA,PPP1R18
PPP1CA,PPP1R12A
PPP1CA,PPP1R11
PPP1CA,PRKG1
PPP1CA,PLN
PPP1CA,PPP1R3D
PPP1CA,YAP1
PPP1CA,RBL1
PPP1CA,GRIA1
PPP1CA,PPP1R9B
PPP1CA,MYL12A
PPP1CA,CAMK2B
PPP1CA,PPP1CC
PPP1CA,AKT1
PPP1CA,ACTA1
PPP1CA,MYL6B
PPP1CA,PHACTR3
PPP1CA,RASSF5
PPP1CA,GRIN2A
PPP1CA,GRIN2B
PPP1CA,URI1
PPP1CA,WWTR1
TUBA3D,TJP1
TUBA3D,ARHGEF2
TUBA3D,TUBB4B
TUBA3D,TUBB2A
TUBA3D,TUBB
TUBA3D,TUBB8
TUBA3D,MAPT
COX14,COA3
COX14,SURF1
MACIR,UNC119
PMAIP1,MCL1
PMAIP1,BMF
PMAIP1,BBC3
PMAIP1,BCL2L1
PMAIP1,BCL2L11
PMAIP1,BCL2
LARP4B,RPS29
LARP4B,RPS26
LARP4B,RPL31
LARP4B,DHX9
LARP4B,RPL41
LARP4B,RPL32
LARP4B,RPL36A
LARP4B,RPL39
LARP4B,RACK1
LARP4B,RPL36
LARP4B,RPL6
LARP4B,RPL18
LARP4B,RPS21
LARP4B,RPL11
LARP4B,RPL24
LARP4B,RPL10A
LARP4B,RPS28
LARP4B,RPL30
KLK4,BDKRB2
KLK4,SPINK5
KLK4,SERPINC1
KLK4,KNG1
KLK4,WDR72
DHRS4,PNPLA4
DHRS4,AWAT2
DHRS4,DGAT1
DHRS4,CYP27C1
DHRS4,DHRS3
DHRS4,AOX1
DHRS4,DHRS9
DHRS4,LRAT
DHRS4,ALDH1A3
GANC,HK1
GANC,AMY1C
GANC,MGAM2
GANC,MGAM
GANC,AMY2B
GANC,AMY1B
GANC,HKDC1
CAPZA3,CAPZB
CAPZA3,CAPZA2
SAMD9L,DDX60
SAMD9L,PARP9
SAMD9L,IFIT2
SAMD9L,IFI44L
SAMD9L,XAF1
SAMD9L,STAT1
SAMD9L,IFIT3
SAMD9L,IFI44
SRRM1,IK
SRRM1,PRP4K
SRRM1,RBM5
SRRM1,PPIL2
SRRM1,XAB2
SRRM1,UPF2
SRRM1,SNRPB
SRRM1,DDX41
SRRM1,SNRPE
SRRM1,CWC15
SRRM1,CDC5L
SRRM1,PPIL1
SRRM1,CTNNBL1
SRRM1,UBL5
SRRM1,NXF1
SRRM1,DEK
SRRM1,SNW1
SRRM1,RNPS1
SRRM1,UPF1
SRRM1,SRSF2
SRRM1,ALYREF
SRRM1,SRSF3
SRRM1,SNRPD2
SRRM1,DHX16
SRRM1,NCBP1
SRRM1,CDC40
SRRM1,SRSF11
SRRM1,EFTUD2
SRRM1,SF3B1
SRRM1,SF3A3
SRRM1,CWC22
SRRM1,EIF4A3
SRRM1,SRSF5
SRRM1,DDX39B
SRRM1,PRPF8
SRRM1,NCBP2
SRRM1,LSM4
SRRM1,SRSF4
SRRM1,UPF3A
SRRM1,PRPF40A
SRRM1,MAGOH
SRRM1,RBM8A
SRRM1,SF3B5
SRRM1,SNRPG
SLC25A20,CPT2
SLC25A20,SLC25A29
SLC25A20,CPT1C
SLC25A20,CPT1B
ATG16L2,ATG12
ATG16L2,ATG16L1
ATG16L2,ATG5
PSEN1,PSENEN
PSEN1,CDK5
PSEN1,CTNNB1
PSEN1,PRKACG
PSEN1,NOTCH1
PSEN1,PSEN2
PSEN1,UBQLN1
PSEN1,RYR3
PSEN1,TREM2
PSEN1,PRKACB
PSEN1,ERN1
PSEN1,ITPR2
PSEN1,GRB2
PSEN1,SNCA
PSEN1,MAPT
PSEN1,MTCH1
PSEN1,APH1A
PSEN1,ITPR3
PSEN1,TRAF6
EIF4A2,EIF1
EIF4A2,EIF4G2
EIF4A2,EIF4B
EIF4A2,MAGOH
EIF4A2,EIF3C
EIF4A2,EIF4A3
EIF4A2,EIF3I
EIF4A2,EIF4G3
EIF4A2,EIF1AX
EIF4A2,EIF4G1
EIF4A2,EEF1G
EIF4A2,EIF4EBP1
EIF4A2,EIF3B
EIF4A2,RPS6
EIF4A2,EEF1A1
EIF4A2,MKNK1
EIF4A2,EIF3A
EIF4A2,EIF4E
CWF19L1,CDC5L
NADSYN1,ENPP1
NADSYN1,SIRT7
NADSYN1,NMNAT3
NADSYN1,NMNAT1
NADSYN1,SIRT3
NADSYN1,NADK2
NADSYN1,SIRT5
NADSYN1,ENPP3
NADSYN1,QPRT
NADSYN1,SIRT6
CCR8,CCL4
CCR8,CCL20
CCR8,CCL24
CCR8,CCL3
CCR8,CCL16
CCR8,CCL4L2
CCR8,CCR6
CCR8,CXCL12
CCR8,CCR3
CCR8,CCL25
CCR8,CCL7
CCR8,CCL18
CCR8,CXCL1
CCR8,CCL8
PAGR1,PAXIP1
PAGR1,WDR5
PAGR1,KDM6A
PAGR1,NCOA6
PAGR1,ASH2L
PAGR1,DPY30
THOC6,THOC5
THOC6,SARNP
THOC6,NCBP3
THOC6,ALYREF
THOC6,CHTOP
THOC6,DDX39B
TACC3,CKAP5
TACC3,CDCA8
TACC3,NOTCH4
TACC3,CEP55
TACC3,FGFR3
TACC3,EIF4E
TACC3,CPEB1
KDM3B,PRKACB
KDM3B,KDM3A
KDM3B,PRKACG
KDM3B,YTHDC1
FKRP,POMT1
FKRP,TRIM32
FKRP,DYSF
FKRP,LARGE1
FKRP,CAPN3
FKRP,POMGNT1
FKRP,POMGNT2
FKRP,SGCB
FKRP,LAMA2
PEG3,PEG10
PEG3,SNRPN
SMCHD1,LRIF1
SMCHD1,DUX4
LMBR1,ZP2
ZFPM1,GATA4
ZFPM1,GATA1
ZFPM1,GATA2
ZFPM1,HDAC1
ZFPM1,LDB1
ZFPM1,RBBP4
HPS1,HPS4
HPS1,BLOC1S6
SLC47A2,SLC22A2
SLC25A42,RPL18
TNFRSF12A,TRAF3
MED25,MED12
MED25,TAF9
MED25,MED23
MED25,MED13
MED25,CDK19
MED25,GTF2E2
MED25,MED6
MED25,GTF2F2
MED25,MED24
MED25,CCNC
MED25,GTF2B
MED25,MED22
MED25,MED18
MED25,CDK8
MED25,QKI
MED25,GTF2F1
MED25,MED29
CUL1,ELOC
CUL1,FBXO6
CUL1,FBXL17
CUL1,FBXW2
CUL1,FBXO44
CUL1,FBXL7
CUL1,COPS4
CUL1,SMAD3
CUL1,FBXW4
CUL1,FBXW7
CUL1,COPS8
CUL1,FBH1
CUL1,PRKN
CUL1,KEAP1
CUL1,ACVR1
CUL1,ARIH1
CUL1,FBXL3
CUL1,VCP
CUL1,FBXO2
CUL1,FBXO32
CUL1,GLI3
CUL1,FBXW9
CUL1,CDKN1A
CUL1,COPS7B
CUL1,COPS5
CUL1,PER3
CUL1,UBA52
CUL1,CHEK1
CUL1,CKS2
CUL1,UBB
CUL1,CUL5
CUL1,ZC3HC1
CUL1,CUL4B
CUL1,SENP8
CUL1,MYC
CUL1,CCNF
CUL1,UBA3
CUL1,CAND2
CUL1,PSMD14
CUL1,CTNNB1
CUL1,FBXL14
CUL1,FBXO11
CUL1,CDKN1C
CUL1,FBXO21
CUL1,DCUN1D2
CUL1,GPS1
CUL1,ANK2
CUL1,FBXL16
CUL1,UBC
CUL1,FBXO46
CUL1,BTRC
CUL1,FBXL4
CUL1,GLI2
CUL1,FBXL5
CUL1,FBXL22
CUL1,HEY1
CUL1,NAE1
CUL1,FBXL2
CUL1,FBXO28
CUL1,UBE2D2
CUL1,FBXO42
CUL1,COPS7A
CUL1,CUL4A
CUL1,FBXL6
CUL1,CCNE2
CUL1,CAND1
CUL1,FBXO25
CUL1,FBXW8
CUL1,FBXL18
CUL1,GLMN
CUL1,UBE2D1
CUL1,FBXO43
CUL1,FBXO10
NCBP2,RBM8A
NCBP2,HNRNPF
NCBP2,SNRPG
NCBP2,RNMT
NCBP2,KPNA2
NCBP2,LSM4
NCBP2,SLBP
NCBP2,UPF3A
NCBP2,NUP153
NCBP2,EIF4G1
NCBP2,LSM5
NCBP2,EIF4A3
NCBP2,DDX39B
NCBP2,NELFB
NCBP2,PRPF8
NCBP2,ZCCHC8
NCBP2,EFTUD2
NCBP2,SF3B1
NCBP2,LSM2
NCBP2,SF3A3
NCBP2,CDC40
NCBP2,NCBP3
NCBP2,ZC3H18
NCBP2,PLRG1
NCBP2,SNRPD2
NCBP2,NCBP1
NCBP2,ALYREF
NCBP2,EIF4E3
NCBP2,EIF4E
NCBP2,UPF1
NCBP2,RAN
NCBP2,SNW1
NCBP2,DDX46
NCBP2,SNRNP70
NCBP2,CTIF
NCBP2,KPNA1
NCBP2,NXF1
NCBP2,CWC15
NCBP2,NELFE
NCBP2,CDC5L
NCBP2,UPF2
NCBP2,SNRPB
NCBP2,HNRNPH1
NCBP2,SNRPE
NCBP2,SMG1
NCBP2,SRRT
